músculo | мышца | Me duele el músculo después del entrenamiento. (У меня болит мышца после тренировки.)
hueso | кость | El perro mordió el hueso. (Собака грызла кость.)
piel | кожа | Tiene la piel muy suave. (У неё очень мягкая кожа.)
corazón | сердце | El corazón late más rápido al correr. (Сердце бьётся быстрее при беге.)
pulmón | лёгкое | Fumar daña los pulmones. (Курение вредит лёгким.)
cuello | шея | Me duele el cuello por dormir mal. (У меня болит шея от неудобного сна.)
hombros | плечи | Lleva una mochila pesada en los hombros. (Он несёт тяжёлый рюкзак на плечах.)
pecho | грудь | Le duele el pecho después de correr. (У него болит грудь после бега.)
cintura | талия | Tiene una cintura muy estrecha. (У неё очень тонкая талия.)
barriga | живот | Me duele la barriga después de comer. (У меня болит живот после еды.)
rodilla | колено | Se cayó y se golpeó la rodilla. (Он упал и ударил колено.)
tobillo | лодыжка | Se torció el tobillo jugando al fútbol. (Он вывихнул лодыжку, играя в футбол.)
codo | локоть | Se apoyó en la mesa con el codo. (Он облокотился на стол.)
muñeca | запястье | Lleva un reloj en la muñeca. (Он носит часы на запястье.)
frente | лоб | Tiene fiebre, le toqué la frente. (У него температура, я потрогал лоб.)
mejilla | щека | Le dio un beso en la mejilla. (Он поцеловал её в щёку.)
barbilla | подбородок | Tiene una cicatriz en la barbilla. (У него шрам на подбородке.)
ceja | бровь | Tiene las cejas muy pobladas. (У него очень густые брови.)
pestaña | ресница | Le cayó una pestaña en el ojo. (Ему в глаз попала ресница.)
cana | седой волос | A los 30 años ya tiene canas. (В 30 лет у него уже есть седые волосы.)
uña | ноготь | Se cortó las uñas. (Она постригла ногти.)
cerebro | мозг | El cerebro necesita glucosa para funcionar. (Мозгу нужна глюкоза для работы.)
hígado | печень | El alcohol daña el hígado. (Алкоголь вредит печени.)
riñón | почка | Los riñones filtran la sangre. (Почки фильтруют кровь.)
intestino | кишечник | El intestino absorbe los nutrientes. (Кишечник поглощает питательные вещества.)
esqueleto | скелет | El esqueleto humano tiene 206 huesos. (Скелет человека состоит из 206 костей.)
columna | позвоночник | Siéntate recto para cuidar la columna. (Сиди прямо, чтобы беречь позвоночник.)
costilla | ребро | Se fracturó una costilla en el accidente. (Он сломал ребро в аварии.)
nervio | нерв | Tiene los nervios a flor de piel. (У него нервы на пределе.)
articulación | сустав | Le duelen las articulaciones en invierno. (У него болят суставы зимой.)
